B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 0
S17, Trade, 248.182, 200, B34, S17, 1
S17, Trade, 301.447, 193, B32, S17, 1
S17, Trade, 360.417, 201, S17, B41, 1
S17, Trade, 421.621, 194, S17, B31, 1
S17, Trade, 541.098, 198, S17, B55, 1
S18, 2
S18, Trade, 481.515, 229, S18, B62, 1
S18, Trade, 540.561, 196, B65, S18, 1
S19, 9
S19, Trade, 60.500, 221, B49, S19, 1
S19, Trade, 120.492, 192, B48, S19, 1
S19, Trade, 208.841, 197, B40, S19, 1
S19, Trade, 240.136, 197, S19, B65, 1
S19, Trade, 303.189, 193, S19, B52, 1
S19, Trade, 361.871, 198, S19, B54, 1
S19, Trade, 422.917, 196, S19, B62, 1
S19, Trade, 489.447, 197, S19, B45, 1
S19, Trade, 541.659, 198, S19, B57, 1
S20, 9
S20, Trade, 64.265, 201, S20, B45, 1
S20, Trade, 121.076, 196, S20, B35, 1
S20, Trade, 182.038, 199, B33, S20, 1
S20, Trade, 246.371, 200, B58, S20, 1
S20, Trade, 304.295, 192, S20, B65, 1
S20, Trade, 364.303, 196, B34, S20, 1
S20, Trade, 421.265, 194, S20, B37, 1
S20, Trade, 485.598, 206, S20, B47, 1
S20, Trade, 540.545, 198, S20, B46, 1
S21, 9
S21, Trade, 73.598, 199, B41, S21, 1
S21, Trade, 122.045, 192, B38, S21, 1
S21, Trade, 185.932, 198, B58, S21, 1
S21, Trade, 240.826, 194, B31, S21, 1
S21, Trade, 306.848, 191, B34, S21, 1
S21, Trade, 368.189, 196, B49, S21, 1
S21, Trade, 421.106, 194, B58, S21, 1
S21, Trade, 481.947, 226, B40, S21, 1
S21, Trade, 540.318, 208, S21, B54, 1
S22, 9
S22, Trade, 61.485, 194, B63, S22, 1
S22, Trade, 123.515, 193, B44, S22, 1
S22, Trade, 207.424, 198, S22, B53, 1
S22, Trade, 241.864, 201, S22, B35, 1
S22, Trade, 301.053, 193, S22, B59, 1
S22, Trade, 360.114, 195, S22, B52, 1
S22, Trade, 444.712, 196, S22, B35, 1
S22, Trade, 493.811, 195, S22, B36, 1
S22, Trade, 540.280, 195, B59, S22, 1
S23, 9
S23, Trade, 60.970, 193, B53, S23, 1
S23, Trade, 120.879, 191, S23, B31, 1
S23, Trade, 180.591, 199, S23, B46, 1
S23, Trade, 240.333, 209, B53, S23, 1
S23, Trade, 302.864, 193, S23, B42, 1
S23, Trade, 362.068, 199, S23, B46, 1
S23, Trade, 421.273, 193, B39, S23, 1
S23, Trade, 480.439, 229, B64, S23, 1
S23, Trade, 544.182, 195, S23, B52, 1
S24, 8
S24, Trade, 79.758, 200, S24, B35, 1
S24, Trade, 123.659, 192, B41, S24, 1
S24, Trade, 241.705, 200, S24, B60, 1
S24, Trade, 300.364, 199, S24, B46, 1
S24, Trade, 368.432, 199, S24, B45, 1
S24, Trade, 422.674, 195, S24, B54, 1
S24, Trade, 480.508, 249, B46, S24, 1
S24, Trade, 543.932, 195, S24, B35, 1
S25, 9
S25, Trade, 60.523, 195, B64, S25, 1
S25, Trade, 121.083, 192, B37, S25, 1
S25, Trade, 180.386, 197, B34, S25, 1
S25, Trade, 241.311, 200, B63, S25, 1
S25, Trade, 300.182, 187, B39, S25, 1
S25, Trade, 360.538, 190, B53, S25, 1
S25, Trade, 421.280, 193, B44, S25, 1
S25, Trade, 481.439, 229, B41, S25, 1
S25, Trade, 543.962, 192, B39, S25, 1
S26, 8
S26, Trade, 66.848, 200, B36, S26, 1
S26, Trade, 121.848, 193, S26, B51, 1
S26, Trade, 206.674, 199, S26, B35, 1
S26, Trade, 240.985, 199, S26, B51, 1
S26, Trade, 302.697, 192, S26, B31, 1
S26, Trade, 360.826, 197, B32, S26, 1
S26, Trade, 420.939, 195, B38, S26, 1
S26, Trade, 543.015, 194, S26, B50, 1
S27, 9
S27, Trade, 61.705, 214, S27, B58, 1
S27, Trade, 120.848, 190, B58, S27, 1
S27, Trade, 181.174, 200, S27, B54, 1
S27, Trade, 240.841, 204, S27, B54, 1
S27, Trade, 301.265, 193, B64, S27, 1
S27, Trade, 361.462, 197, B64, S27, 1
S27, Trade, 420.788, 197, S27, B45, 1
S27, Trade, 483.682, 219, B38, S27, 1
S27, Trade, 543.780, 192, B48, S27, 1
S28, 9
S28, Trade, 82.652, 198, B32, S28, 1
S28, Trade, 129.932, 195, B40, S28, 1
S28, Trade, 185.644, 198, B32, S28, 1
S28, Trade, 298.576, 190, B30, S28, 1
S28, Trade, 302.303, 192, B44, S28, 1
S28, Trade, 368.795, 195, B58, S28, 1
S28, Trade, 464.439, 193, B43, S28, 1
S28, Trade, 504.530, 190, B30, S28, 1
S28, Trade, 551.583, 190, B33, S28, 1
S29, 9
S29, Trade, 64.758, 201, B65, S29, 1
S29, Trade, 129.553, 196, B34, S29, 1
S29, Trade, 180.818, 200, S29, B62, 1
S29, Trade, 242.250, 200, B59, S29, 1
S29, Trade, 302.614, 191, B43, S29, 1
S29, Trade, 362.720, 197, B40, S29, 1
S29, Trade, 425.917, 196, S29, B47, 1
S29, Trade, 483.136, 223, B39, S29, 1
S29, Trade, 540.833, 198, S29, B56, 1
S30, 2
S30, Trade, 481.909, 227, S30, B50, 1
S30, Trade, 540.788, 194, B38, S30, 1
S31, 9
S31, Trade, 67.886, 200, B38, S31, 1
S31, Trade, 123.091, 194, S31, B49, 1
S31, Trade, 186.402, 200, S31, B45, 1
S31, Trade, 242.500, 201, S31, B62, 1
S31, Trade, 313.189, 194, S31, B47, 1
S31, Trade, 366.144, 198, S31, B36, 1
S31, Trade, 421.871, 194, S31, B59, 1
S31, Trade, 480.523, 227, B58, S31, 1
S31, Trade, 545.341, 195, S31, B42, 1
S32, 8
S32, Trade, 60.144, 200, S32, B60, 1
S32, Trade, 123.848, 198, S32, B60, 1
S32, Trade, 186.091, 199, S32, B42, 1
S32, Trade, 241.689, 200, S32, B46, 1
S32, Trade, 342.144, 198, S32, B35, 1
S32, Trade, 360.326, 200, S32, B39, 1
S32, Trade, 480.902, 233, S32, B56, 1
S32, Trade, 546.682, 198, S32, B62, 1
S33, 7
S33, Trade, 60.402, 201, S33, B46, 1
S33, Trade, 130.720, 201, S33, B45, 1
S33, Trade, 181.303, 201, S33, B47, 1
S33, Trade, 241.303, 201, S33, B48, 1
S33, Trade, 370.780, 201, S33, B42, 1
S33, Trade, 481.962, 223, B48, S33, 1
S33, Trade, 547.576, 201, S33, B47, 1
S34, 3
S34, Trade, 146.455, 205, S34, B36, 1
S34, Trade, 252.848, 206, S34, B42, 1
S34, Trade, 481.530, 231, S34, B60, 1
S35, 2
S35, Trade, 256.197, 209, S35, B45, 1
S35, Trade, 480.636, 236, S35, B55, 1
S36, 1
