B00, 0
B01, 0
B02, 1
B27, Trade, 172.812, 208, S02, B27, 1
B27, Trade, 189.825, 199, S17, B27, 1
B27, Trade, 201.350, 200, B27, S16, 1
B27, Trade, 215.662, 198, B27, S18, 1
B27, Trade, 218.187, 202, B27, S10, 1
B27, Trade, 229.887, 213, B27, S17, 1
B27, Trade, 234.662, 196, B27, S04, 1
B27, Trade, 250.725, 200, B27, S14, 1
B27, Trade, 258.062, 198, S19, B27, 1
B27, Trade, 268.050, 191, S03, B27, 1
B27, Trade, 277.850, 214, B27, S08, 1
B27, Trade, 289.650, 190, S01, B27, 1
B27, Trade, 294.637, 193, B27, S02, 1
B27, Trade, 315.712, 340, B27, S05, 1
B27, Trade, 320.475, 348, B27, S10, 1
B27, Trade, 329.337, 347, S11, B27, 1
B27, Trade, 338.250, 346, B27, S02, 1
B27, Trade, 349.562, 348, B27, S00, 1
B27, Trade, 357.650, 347, B27, S00, 1
B27, Trade, 368.600, 340, B27, S14, 1
B27, Trade, 371.850, 343, B27, S05, 1
B27, Trade, 384.812, 349, B27, S18, 1
B27, Trade, 402.575, 342, S07, B27, 1
B27, Trade, 406.637, 351, S20, B27, 1
B27, Trade, 416.400, 349, B27, S03, 1
B27, Trade, 432.150, 352, S02, B27, 1
B27, Trade, 446.687, 347, S11, B27, 1
B27, Trade, 459.687, 350, B27, S01, 1
B27, Trade, 464.175, 351, B27, S16, 1
B27, Trade, 474.587, 346, B27, S15, 1
B27, Trade, 486.962, 349, B27, S10, 1
B27, Trade, 499.350, 346, S13, B27, 1
B27, Trade, 511.862, 345, B27, S15, 1
B27, Trade, 519.100, 346, S03, B27, 1
B27, Trade, 523.600, 345, B27, S15, 1
B27, Trade, 538.762, 347, B27, S09, 1
B27, Trade, 544.225, 353, B27, S05, 1
B27, Trade, 556.412, 351, S20, B27, 1
B27, Trade, 563.875, 345, B27, S12, 1
B27, Trade, 577.825, 349, S06, B27, 1
B27, Trade, 592.900, 345, B27, S08, 1
B27, Trade, 597.962, 349, S11, B27, 1
B28, 36
B28, Trade, 9.975, 178, S16, B28, 1
B28, Trade, 19.537, 191, S06, B28, 1
B28, Trade, 28.712, 198, S01, B28, 1
B28, Trade, 43.763, 202, S17, B28, 1
B28, Trade, 53.013, 199, S11, B28, 1
B28, Trade, 72.800, 203, S20, B28, 1
B28, Trade, 81.588, 202, S01, B28, 1
B28, Trade, 85.700, 212, S07, B28, 1
B28, Trade, 92.238, 202, S13, B28, 1
B28, Trade, 109.263, 197, S13, B28, 1
B28, Trade, 115.750, 202, S03, B28, 1
B28, Trade, 129.875, 193, S11, B28, 1
B28, Trade, 136.625, 208, S17, B28, 1
B28, Trade, 152.675, 194, S01, B28, 1
B28, Trade, 158.425, 192, S03, B28, 1
B28, Trade, 161.900, 196, S01, B28, 1
B28, Trade, 178.712, 215, S22, B28, 1
B28, Trade, 182.387, 203, S20, B28, 1
B28, Trade, 198.762, 198, S19, B28, 1
B28, Trade, 212.312, 188, S06, B28, 1
B28, Trade, 216.587, 202, S02, B28, 1
B28, Trade, 226.025, 214, S01, B28, 1
B28, Trade, 262.325, 197, S07, B28, 1
B28, Trade, 268.575, 196, S19, B28, 1
B28, Trade, 291.712, 185, S07, B28, 1
B28, Trade, 313.250, 333, S13, B28, 1
B28, Trade, 330.575, 351, S17, B28, 1
B28, Trade, 340.712, 351, S20, B28, 1
B28, Trade, 389.962, 344, B28, S11, 1
B28, Trade, 421.312, 350, B28, S14, 1
B28, Trade, 426.800, 351, S11, B28, 1
B28, Trade, 495.050, 348, S19, B28, 1
B28, Trade, 504.500, 344, S17, B28, 1
B28, Trade, 532.287, 347, S07, B28, 1
B28, Trade, 558.062, 349, S09, B28, 1
B28, Trade, 587.000, 347, S07, B28, 1
B29, 47
B29, Trade, 10.237, 195, S13, B29, 1
B29, Trade, 19.525, 189, B29, S05, 1
B29, Trade, 36.925, 207, B29, S15, 1
B29, Trade, 38.750, 207, B29, S06, 1
B29, Trade, 44.675, 198, B29, S00, 1
B29, Trade, 58.825, 190, B29, S05, 1
B29, Trade, 70.825, 193, B29, S00, 1
B29, Trade, 79.150, 192, S03, B29, 1
B29, Trade, 90.063, 201, B29, S05, 1
B29, Trade, 98.850, 200, B29, S08, 1
B29, Trade, 109.538, 191, B29, S10, 1
B29, Trade, 121.663, 194, B29, S15, 1
B29, Trade, 138.463, 204, B29, S16, 1
B29, Trade, 147.738, 205, B29, S15, 1
B29, Trade, 163.212, 189, B29, S05, 1
B29, Trade, 177.687, 210, B29, S05, 1
B29, Trade, 190.225, 198, B29, S15, 1
B29, Trade, 204.125, 201, B29, S05, 1
B29, Trade, 209.962, 194, S11, B29, 1
B29, Trade, 228.237, 211, B29, S13, 1
B29, Trade, 241.075, 200, B29, S04, 1
B29, Trade, 248.675, 197, B29, S08, 1
B29, Trade, 260.950, 212, B29, S13, 1
B29, Trade, 278.225, 215, B29, S19, 1
B29, Trade, 281.437, 201, B29, S17, 1
B29, Trade, 308.312, 321, S02, B29, 1
B29, Trade, 323.737, 345, B29, S14, 1
B29, Trade, 351.362, 348, B29, S07, 1
B29, Trade, 358.500, 345, B29, S17, 1
B29, Trade, 372.475, 341, B29, S00, 1
B29, Trade, 381.112, 347, B29, S14, 1
B29, Trade, 388.175, 348, B29, S04, 1
B29, Trade, 399.187, 338, B29, S05, 1
B29, Trade, 420.150, 348, B29, S05, 1
B29, Trade, 432.212, 349, B29, S00, 1
B29, Trade, 468.425, 350, B29, S04, 1
B29, Trade, 488.712, 349, B29, S12, 1
B29, Trade, 492.337, 346, B29, S10, 1
B29, Trade, 496.437, 345, B29, S15, 1
B29, Trade, 510.662, 344, B29, S04, 1
